Title,Genre,Premiere,Runtime,IMDB Score,Language
Drive,Action,"November 1, 2019",147,3.5,Hindi
All Because of You,Action comedy,"October 1, 2020",101,4.2,Malay
Sentinelle,Action,"March 5, 2021",80,4.7,French
Earth and Blood,Action,"April 17, 2020",80,4.9,French
How It Ends,Action-thriller,"July 13, 2018",113,5.0,English
Coffee & Kareem,Action comedy,"April 3, 2020",88,5.1,English
"Game Over, Man!",Action/Comedy,"March 23, 2018",101,5.4,English
Outside the Wire,Action/Science fiction,"January 15, 2021",114,5.4,English
Point Blank,Action,"July 12, 2019",86,5.7,English
The Do-Over,Action comedy,"May 27, 2016",108,5.7,English
True Memoirs of an International Assassin,Action comedy,"November 11, 2016",98,5.9,English
6 Underground,Action,"December 13, 2019",128,6.1,English
Spenser Confidential,Action comedy,"March 6, 2020",111,6.2,English
Polar,Action,"January 25, 2019",118,6.3,English
Spectral,Science fiction/Action,"December 9, 2016",108,6.3,English
Triple Frontier,Action-thriller,"March 13, 2019",125,6.4,English
Wheelman,Action thriller,"October 20, 2017",82,6.4,English
Extraction,Action,"April 24, 2020",117,6.7,English
The Old Guard,Superhero/Action,"July 10, 2020",124,6.7,English
The Night Comes for Us,Action-thriller,"October 19, 2018",121,7.0,Indonesian
Okja,Action-adventure,"June 28, 2017",121,7.3,English/Korean
